,Song,Film,Year,Music Director,Lyricist,Singers
8965,http://giitaayan.com/viewisbsong.asp?id=10394,Apnaa Haath Jagannaath,1960,S D Burman,Kaifi Azmi,Asha
8966,http://giitaayan.com/viewisbsong.asp?id=rmim0250,Ziddi,1948,Khemchand Prakash,Raja Mehdi Ali Khan,Lata
8967,http://giitaayan.com/viewisbsong.asp?id=10358,April Fool,1964,Shankar-Jaikishan,Hasrat,"Rafi, Suman"
8968,http://giitaayan.com/viewisbsong.asp?id=13205,Naajaayaz,1995,Annu Malik,Indeevar,Alka Yagnik
8969,http://giitaayan.com/viewisbsong.asp?id=2720,Ek Phool Do Mali,1969,Ravi,Prem Dhawan,Manna Dey
8970,http://giitaayan.com/viewisbsong.asp?id=12444,Kuchh Kuchh Hotaa Hai,1998,Jatin-Lalit,Sameer,"Udit Narayan, Alka Yagnik, Man..."
8971,http://giitaayan.com/viewisbsong.asp?id=1744,Mere Sanam,1965,O P Nayyar,Majrooh,Rafi
8972,http://giitaayan.com/viewisbsong.asp?id=1745,Aandhi,1975,R D Burman,Gulzar,"Kishore, Lata"
8973,http://giitaayan.com/viewisbsong.asp?id=1746,Mirza Sahiban,1947,"Pt Amarnath, Husnlal-Bhagatram",Aziz Kashmiri,"Noorjehan, G M Durrani"
8974,http://giitaayan.com/viewisbsong.asp?id=21158,Zakhm,1998,M M Kreem,Anand Bakshi,Alka Yagnik
8975,http://giitaayan.com/viewisbsong.asp?id=10265,Aashiq,1962,Shankar-Jaikishan,Hasrat,Mukesh
8976,http://giitaayan.com/viewisbsong.asp?id=1748,Subah,1982,Hridaynath Mangeshkar,Narendra Sharma,Lata
8977,http://giitaayan.com/viewisbsong.asp?id=1749,Zakhm,1998,M M Kreem,Anand Bakshi,Alka Yagnik
8978,http://giitaayan.com/viewisbsong.asp?id=12851,Mother '98,98,Dilip Sen-Sameer Sen,Sameer,"Sapana Mukherji, Hariharan, Ro..."
8979,http://giitaayan.com/viewisbsong.asp?id=1750,Dil Hi To Hai,1963,Roshan,Sahir,Mukesh
8980,http://giitaayan.com/viewisbsong.asp?id=1751,Hamraaz,1967,Ravi,Sahir,Mahendra Kapoor
8981,http://giitaayan.com/viewisbsong.asp?id=11541,God Mother,1998,Vishal,Javed Akhtar,Abhijit
8982,http://giitaayan.com/viewisbsong.asp?id=21018,Aao Pyar Karen,1964,Usha Khanna,Rajinder Krishan,"Lata, Rafi"
8983,http://giitaayan.com/viewisbsong.asp?id=1752,Shagoon,1964,Khayyam,Sahir,Jagjit Kaur
8984,http://giitaayan.com/viewisbsong.asp?id=1753,Aaj Aur Kal,1963,Ravi,Sahir,Asha
8985,http://giitaayan.com/viewisbsong.asp?id=14126,Samaaj Ko Badal Dalo,1970,Ravi,Sahir,"Rafi, Asha"
8986,http://giitaayan.com/viewisbsong.asp?id=2970,Yaasmin,1955,C Ramchandra,Jaan Nisar Akhtar,"Lata, Talat"
8987,http://giitaayan.com/viewisbsong.asp?id=2227,Chori Chori,1956,Shankar-Jaikishan,Shailendra,"Rafi, Lata"
8988,http://giitaayan.com/viewisbsong.asp?id=3222,Fashion,1957,Hemant Kumar,Bharat Vyas,"Hemant, Geeta"
8989,http://giitaayan.com/viewisbsong.asp?id=2971,Anurodh,1977,Laxmikant-Pyarelal,Anand Bakshi,"Manna Dey, chorus"
8990,http://giitaayan.com/viewisbsong.asp?id=12278,Jugnu,1947,Firoz Nizami,M G Adeeb or Asghar Sarhadi,Noorjehan
8991,http://giitaayan.com/viewisbsong.asp?id=1754,Zameer,1975,Sapan Chakravarty,Sahir,"Kishore, Asha/ Kishore"
8992,http://giitaayan.com/viewisbsong.asp?id=13845,Rootha Na Karo,1970,C Ramchandra,Hasrat,Kishore
8993,http://giitaayan.com/viewisbsong.asp?id=14481,The Hero,2003,Uttam Singh,Javed Akhtar,"Hariharan, Alka Yagnik"
8994,http://giitaayan.com/viewisbsong.asp?id=13631,Pukaar,1939,Mir Sahab,Kamal Amrohi,Sheila
8995,http://giitaayan.com/viewisbsong.asp?id=1755,Pyar Ka Mausam,1969,R D Burman,Majrooh,Rafi / Kishore
8996,http://giitaayan.com/viewisbsong.asp?id=1756,Baawarchi,1972,Madan Mohan,Kaifi Azmi,Manna Dey
8997,http://giitaayan.com/viewisbsong.asp?id=1757,Anita,1967,Laxmikant-Pyarelal,Raja Mehdi Ali Khan,Mukesh
8998,http://giitaayan.com/viewisbsong.asp?id=14401,Tum Bin,2001,Nikhil-Vinay,Faiz Anwar,Chitra
8999,http://giitaayan.com/viewisbsong.asp?id=2972,Jhaanjhar,1953,C Ramchandra,Rajinder Krishan,Lata
