Song,Film,Year,Music Director,Lyricist,Singers
http://giitaayan.com/viewisbsong.asp?id=86,Raj Kumar,1964,Shankar-Jaikishan,Shailendra,Lata
http://giitaayan.com/viewisbsong.asp?id=75,Anaarkali,1953,C Ramchandra,Shailendra,Lata
http://giitaayan.com/viewisbsong.asp?id=13667,Parwana,1947,Khurshid Anwar,D N Madhok,Suraiya
http://giitaayan.com/viewisbsong.asp?id=2509,Firdaus,1953,Robin Chatterjee,D N Madhok,Asha
http://giitaayan.com/viewisbsong.asp?id=77,Halaaku,1956,Shankar-Jaikishan,Shailendra,"Rafi, Lata"
http://giitaayan.com/viewisbsong.asp?id=rmim0684,Heeralal Pannalal,1978,R D Burman,Majrooh,"Hemant, Zeenat?"
http://giitaayan.com/viewisbsong.asp?id=15028,Naghmaa,1953,Nashad,Nakshab,Shamshad
http://giitaayan.com/viewisbsong.asp?id=15207,Saaranga,1960,Sardar Malik,Bharat Vyas,"Rafi, Asha"
http://giitaayan.com/viewisbsong.asp?id=14911,Anmol Ghadi,1946,Naushad,Tanvir Naqvi,Noorjehan
http://giitaayan.com/viewisbsong.asp?id=11651,Geet Gaya Pattharon Ne/ A Poem in Stone,1964,Ramlal,Hasrat,Asha
http://giitaayan.com/viewisbsong.asp?id=78,Baharon Ke Sapne,1967,R D Burman,Majrooh,Lata
http://giitaayan.com/viewisbsong.asp?id=79,Return of Jewel Thief,1996,Jatin-Lalit,Anand Bakshi,"Alka Yagnik, Chorus"
http://giitaayan.com/viewisbsong.asp?id=2263,Love In Tokyo,1966,Shankar-Jaikishan,Hasrat,Rafi
http://giitaayan.com/viewisbsong.asp?id=80,Aah,1953,Shankar-Jaikishan,Hasrat,"Lata, Mukesh"
http://giitaayan.com/viewisbsong.asp?id=81,Madhumati,1958,Salil Chowdhury,Shailendra,Lata
http://giitaayan.com/viewisbsong.asp?id=82,Do Beeghaa Zameen,1953,Salil Chowdhury,Shailendra,Lata
http://giitaayan.com/viewisbsong.asp?id=10869,Chaand,1959,Hemant Kumar,Shailendra,"Lata, Chorus"
http://giitaayan.com/viewisbsong.asp?id=14787,Zeenat,1945,Hafiz Khan,,Noorjehan
http://giitaayan.com/viewisbsong.asp?id=12985,Maashooqaa,1953,Roshan,Qamar Jalalabadi,"Suraiya, Chorus"
http://giitaayan.com/viewisbsong.asp?id=83,Chori Chori,1956,Shankar-Jaikishan,Hasrat,"Manna Dey, Lata"
http://giitaayan.com/viewisbsong.asp?id=2256,Maine Pyaar Kiyaa,1989,Ram Laxman,Dev Kohli,S P Balasubramaniam
http://giitaayan.com/viewisbsong.asp?id=85,Geet,1970,Kalyanji-Anandji,Anand Bakshi,Rafi
http://giitaayan.com/viewisbsong.asp?id=3012,Mirza Sahiban,1947,"Pt Amarnath, Husnlal-Bhagatram",Qamar Jalalabadi,Noorjehan
http://giitaayan.com/viewisbsong.asp?id=rmim0096,Chaandni Chowk,1954,Roshan,Majrooh,Lata
http://giitaayan.com/viewisbsong.asp?id=12900,Maqsad,1984,Bappi Lahiri,Indeevar,Kishore
http://giitaayan.com/viewisbsong.asp?id=13394,Pukar,1999,A R Rahman,Majrooh,"Lata, Kids"
http://giitaayan.com/viewisbsong.asp?id=15,Inteqam,1969,Laxmikant-Pyarelal,Rajinder Krishan,"Lata, Usha"
http://giitaayan.com/viewisbsong.asp?id=16,Awara,1951,Shankar-Jaikishan,Hasrat,Lata
http://giitaayan.com/viewisbsong.asp?id=12659,Laawaaris,1999,Rajesh Roshan,Javed Akhtar,"Udit Narayan, Alka Yagnik"
http://giitaayan.com/viewisbsong.asp?id=3005,Mehboobaa,1954,Roshan,Tanvir Naqvi,Lata
http://giitaayan.com/viewisbsong.asp?id=14186,Shaardaa,1957,C Ramchandra,Rajinder Krishan,Asha
http://giitaayan.com/viewisbsong.asp?id=17,Rani Rupmati,1959,S N Tripathi,Bharat Vyas,Lata / Mukesh
http://giitaayan.com/viewisbsong.asp?id=11600,Gunga Jumna,1961,Naushad,Shakeel,Asha
http://giitaayan.com/viewisbsong.asp?id=12213,Jeene Ki Raah,1969,Laxmikant-Pyarelal,Anand Bakshi,"Rafi, Lata"
http://giitaayan.com/viewisbsong.asp?id=3006,Heer,1956,Anil Biswas,Majrooh,Lata
http://giitaayan.com/viewisbsong.asp?id=21155,Chhalia,1973,R D Burman,Rajinder Krishan,"Lata, R D Burman"
